,Australia,Barbados,Belgium,Benin,Bolivia (Plurinational State of),Botswana,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,Chile,"China, Taiwan Province of","China, mainland",Colombia,Costa Rica,Croatia,Czechia,Côte d'Ivoire,Denmark,Ecuador,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Guatemala,Honduras,Hungary,India,Ireland,Israel,Italy,Jordan,Latvia,Lebanon,Lithuania,Luxembourg,Malawi,Malaysia,Mauritius,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Paraguay,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saudi Arabia,Senegal,Slovakia,Slovenia,South Africa,Sri Lanka,Switzerland,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Zambia
2018-01-01,36511.73902872114,-18.502435394668808,183083.8571526181,-4396.992437746131,32739.625468056624,-317.29220535854023,23001394.71202991,849479.7405510482,26555.895363944386,-240.80283212921088,1050369.5351965656,13439.40816545403,1162.5658374491818,-850374.1431503568,1683.3763970920022,-646.0789989584974,378824.7734926556,235513.74862034793,20751.492197450683,34347.5523932787,-14877.356049430675,-1093.4065578164732,-557.521509264787,-10.640738568820321,4801596.70501574,-657.0441414718916,490917.59474063583,-110377.10440185395,-8854.108818698318,-1625.235205084648,2649721.7483441764,-269330.6054808139,3566.3047013720316,5061.237520552244,39660.08321821534,26329.23442341734,38166.47184576641,-443.45060245004794,48374.67500056963,6005.090206365233,-64528.812885025895,29168.062003540028,-451.6332399743073,1718679.9962237538,-4727.310788126668,563523.5878631131,-4899.068324796347,1645.6095798187753,-2349.2001197645695,1771.4748531113448,-27211.155744688796,1866351.5934865184,737311.3438968142,25177.15034189577,-4507.325941042979,153220.30023879412,3543167.2467866824,4054772.977863446,2174.42814940496,291.83833441880114,-688.4500014055536,395223.96316592954,282443.5820733188,511760.1830184802,-120.9900097679597,73.69640420324394,-162024.0393205639,-2955.04551466283,-2414.7291862299185,14490.372294669658,308377.0715672507,15902572.193331067,135279.53725081633,-3171.3232253389215,46510066.21686695,-45336.16558875163,-9613.39132887017,387477.5720591867
2019-01-01,19288.60835314979,-25.960474336655693,144375.4283229701,-4359.855114196115,28437.03819664179,-408.51973195372193,21397900.747351266,712092.7237754965,12372.356331449555,-311.41301756942005,825139.3460450785,6236.02740514855,206.54434667291207,-1755939.2040986759,1361.7873805036265,-750.0567240251098,221326.37172814689,209624.7466001964,15719.251605720203,18274.730425001508,-22677.172484201088,-1343.9287122027388,-733.7175099171563,-14.181864337440537,4374039.013469798,-3633.4097339211703,458627.8700899731,-146023.667307833,-10613.268252647027,-2144.348621647123,2318848.9957334,-586387.0855352969,1877.7261685735584,580.9391388565255,21276.215263877326,22907.80259011361,33183.93162341548,-652.52611651986,43645.938471685164,5530.452056692809,-70342.47491880796,20392.19334108438,-451.6332399743073,2070848.321773621,-5354.234122977888,497069.39481125714,-6255.764265164132,1465.5598078522094,-2664.732026102937,734.1195150478225,-50345.60091621701,1516331.0852726423,658443.327703479,16019.043920246706,-4078.061793601321,55587.32519144133,3295603.4082353716,3759264.790144705,1520.6646417328448,-291.18221035930094,-875.3783919984694,345436.38302767323,277946.5738388057,232967.78155413864,-157.8284665226218,37.30314514439647,-290913.9633841448,-3570.7276394997825,-3059.133152823011,-5471.603426461945,340872.5214311015,14739677.435898386,120447.225031305,-69028.57701282861,39517508.67374145,-57885.048153497766,-12457.9614148006,327110.5755220891
2020-01-01,4802.855828187407,-29.668913947144834,115452.68841532967,-4937.437662071655,25114.188472588176,-445.6510031768401,20143880.91507008,605939.6278919077,2063.895012347173,-335.61527152650325,637049.5479907992,-4941.893479166676,-293.977373540788,-2795548.1390146953,1118.333452982396,-776.108165058805,109595.95205157597,189591.74345855752,11946.269063710555,6727.143677406442,-29703.062743154223,-2398.880166583799,-810.157468386973,-16.280608331979142,4220971.837021444,-5503.882863645512,334762.6022976159,-165792.46994826646,-13449.494993155586,-2350.082576385141,2065669.659299477,-794601.7189694192,712.537429801404,-2592.6241561309143,16723.837418698706,20259.023429776324,29314.586303528336,-753.3924533253671,39968.20181784015,5161.622250864518,-70371.76558443127,11583.298078971584,-451.6332399743073,2386344.2201306736,-5494.319407603379,426254.533400543,-6255.764265164132,1325.7273883742005,-2737.491688726226,-510.1182928239739,-64610.21576611393,1180716.774221655,596663.4540122447,9522.918745466672,-4078.061793601321,-23302.86658623311,3101986.5708687576,3527954.380419557,1037.855401067875,-291.18221035930094,-966.2550810620552,306714.8409308208,266432.5735055706,-161434.0116064283,-176.79859216255554,14.934734339620462,-290913.9633841448,-3788.936979464372,-3350.8077037610233,-16495.753632957036,359911.3726363215,13829874.464098195,99530.663588014,-64188.7406288253,36705843.04296978,-64657.76455097621,-14101.285214493022,279987.1617841474
2021-01-01,-2065.5566105963517,-31.66126901038539,91878.78573442195,-4181.880745024373,22326.625758918606,-460.1249168808035,19073519.678874675,516865.0191311373,-4886.742576639332,-344.78380293101674,484061.4182746147,-8927.361030981454,-585.0110802454005,-2852488.9348252164,918.3956448657466,-777.6070252026402,75353.70386489131,172690.2520769451,8905.796112289912,-2212.897633968205,-33413.76937369688,-2778.3813139499935,-845.3803964707491,-17.64322240489642,4161733.838643628,-6790.408178176085,170154.0523058219,-177711.63223564674,-13795.10695752867,-2430.4133887705143,1854680.1924948355,-945152.6391370646,-160.71656119162162,-5047.610939751943,15914.930099740799,18030.752375569507,26050.842506850637,-780.8982297354099,36852.40327158348,4848.795695438781,-69458.86988857153,11220.238366881185,-451.6332399743073,2670647.4645425016,-5504.821255934003,373148.20323146885,-6255.764265164132,1207.5185585220136,-2744.9445266361286,-1458.801899266542,-74253.1429809352,1047347.8496097231,544012.1457119077,4527.640970175809,-4078.061793601321,-78103.55430556243,2936711.1719479547,3330345.9383622482,651.9652108710152,-291.18221035930094,-1012.8712483850593,274017.78621775174,251263.43154232032,-208407.69681765581,-187.3472119129509,-0.07187131622421816,-290913.9633841448,-3864.9843837133703,-3488.101165660657,-23147.955665797002,374019.8276776448,13053145.928556565,75313.69092509107,-80192.80636127143,33676885.915560536,-68609.45960096442,-15138.359488705879,240143.6838656067
2022-01-01,-5800.050191138202,-32.751362255792245,71877.7797072246,-3873.878940348305,19897.880027575757,-463.9906306579134,18122270.50151863,439246.32818500116,-9337.810191558245,-348.50435356541897,360375.89244626544,-10518.551603094165,-761.5777953885016,-2741944.961579592,747.9672534206334,-771.7318080396483,91030.20794513685,157851.18075805515,6374.364117826779,-9375.15532059998,-35539.11154263506,-3256.796501328531,-861.4640283830588,-18.55944361983488,4146371.557367474,-7713.22670466612,53869.587018615974,-185064.49137179455,-15022.029944594158,-2455.2777913836385,1671810.0361513544,-1058838.2146893493,-840.7582955187145,-7025.775172353917,16224.145501196996,16083.5484931783,23191.860542064012,-775.0182275073672,34106.75039765962,4572.524843578608,-68641.27554070766,12516.211031056793,-451.6332399743073,2928114.973912459,-5484.819774694986,340055.71972257725,-6255.764265164132,1103.6210253826512,-2736.5239897089436,-1869.2657384889326,-81048.96603523224,962157.4144757094,497371.3252286354,540.8002261211659,-4078.061793601321,-109787.20031857956,2789810.9928306243,3154573.355686281,332.1898201085746,-291.18221035930094,-1035.9608289392736,245350.16012827476,233849.24336563377,-346392.56792615075,-193.29850837962866,-10.571854071923866,-290913.9633841448,-3886.206815983536,-3548.6337545518536,-27354.234222824416,381476.3927946508,12362765.240571372,49313.76068185156,-47151.84144638189,34839154.87483102,-70944.06671866617,-15812.81265118406,205209.07002331925
2023-01-01,-7963.901897771888,-33.34156286826414,54508.429196916346,-3671.8533257109766,17735.110391275666,-462.8775053195514,17256866.937849216,370124.31767445314,-12080.078655887872,-350.1209142910274,260164.53635914763,-11114.416833338335,-871.3664331639316,-2625689.5541331116,599.5410440386756,-764.6208874795178,111325.21094141976,144518.9720456166,4226.849544405693,-15228.99735241841,-36192.13353582244,-2415.422370133072,-868.3721016939053,-19.183184904350302,4153030.2002164247,-8391.851656441231,18816.404450152244,-189570.51252016076,-14993.068062292781,-2455.760992257371,1509672.4384837404,-1146764.4929734059,-1382.4718140594396,-8658.0783471463,16781.778243219087,14344.25698005216,20632.353777060922,-768.7130589813056,31631.636256742382,4322.755034853812,-68075.94665524023,7052.478443632246,-451.6332399743073,3159339.3552518897,-5462.907953818269,319324.0320537286,-6255.764265164132,1010.2260119498455,-2726.640486412501,-1681.7534120488356,-85952.64688544392,939540.5674127941,455123.37895632675,-2711.2946830294095,-4078.061793601321,-122932.56998641709,2656150.194614255,2994523.552981289,61.60383205173912,-291.18221035930094,-1045.919885038339,219665.9127972193,215243.24917653215,-338771.0730356225,-196.59236017807564,-18.113954678947806,-290913.9633841448,-3887.0116089335697,-3569.7166820948987,-30100.583602320738,384046.32709144114,11734646.023952916,23052.735616372753,-54889.760486894425,34657786.24912283,-72288.10941430365,-16253.460527469453,173933.8152000272
2024-01-01,-9272.619698305294,-33.64949847533765,39192.91453478052,-3951.031130757651,15781.69268806632,-459.61294701162285,16457448.394396285,307693.3584317339,-13716.536112680136,-350.87420132284035,178531.4990510858,-11280.813217440103,-940.7248456042968,-2537006.337321602,468.45594290632084,-758.3359330852394,108564.7922507099,132359.09519521767,2382.5603921350703,-20077.577692665378,-36147.499617079826,-1638.773880224293,-870.9064739128333,-19.607208003562313,4170529.556403984,-8899.456442804048,43791.06601679919,-192241.78504301579,-15580.809655573996,-2446.4817738337592,1363772.8713208647,-1215748.4540740214,-1820.637299979071,-10026.263222880052,17303.661136096693,12768.387035082364,18308.336505460324,-761.8554610960563,29367.116722039013,4093.463848303187,-67719.59202490524,-5171.120937164822,-451.6332399743073,3368225.9577234304,-5445.907820346743,302356.778667753,-6255.764265164132,925.0343275787783,-2718.845550797917,-1151.2503028312562,-89544.79856193188,888693.7937931039,416295.87341043464,-5402.860053650213,-4078.061793601321,-123427.14054672394,2532662.983940766,2846548.500677758,-170.52092035633177,-291.18221035930094,-1048.4986826405539,196329.20164527404,196102.56592240024,-412670.3476732599,-198.31614077737856,-23.635456860841117,-290913.9633841448,-3881.3096238034386,-3570.822207082142,-31938.18436597912,381904.3701439596,11154405.779993992,-2258.5197505782708,-34033.16974320872,37483210.052745536,-73007.25379920557,-16537.394349530783,145554.34050480585
2025-01-01,-10090.54183753069,-33.79803963305616,25542.327852632065,-4377.207881500258,13999.722948872219,-455.64117568218677,15711008.506709145,250744.23678300797,-14663.65248028711,-351.24895891333085,111601.44117656082,-11269.183053152185,-985.0068284929375,-2476234.7460681275,351.5398746206613,-753.3762035709029,80745.61602276537,121150.51950116671,784.8428460520663,-24132.49412138178,-35718.69635413239,-971.4111835228655,-871.431793814746,-19.891644025705347,4192752.9296827773,-9284.035921598239,59219.59787224996,-193713.80452206297,-15446.743694518997,-2434.322337898903,1231110.4476128726,-1270343.583770826,-2179.0516014756786,-11185.95787301614,17716.356018997074,11326.240710945614,16177.127197753754,-761.2859205353643,27273.6075893721,3880.6939446066276,-67504.3748159164,-14753.571573395307,-451.6332399743073,3555063.418561492,-5434.164099375278,284347.90412861307,-6255.764265164132,846.5228718965008,-2713.4283513158216,-702.8723498914835,-92203.9332740726,827439.7602559151,380247.3542103072,-7654.086726798647,-4078.061793601321,-116781.3213689008,2417341.8858305393,2708260.233662135,-371.60304258498763,-291.18221035930094,-1047.0312749889217,174915.79090875242,176862.04503528913,-372167.69469048665,-199.11088473670182,-27.73944014291473,-290913.9633841448,-3874.529306393033,-3562.4424514729035,-33191.84982580086,375697.89499851014,10612623.909658007,-25653.953551088583,-51352.95394771137,37526230.91017976,-73328.69214028792,-16714.131175860544,119558.3734981466
