,Australia,Barbados,Belgium,Benin,Bolivia (Plurinational State of),Botswana,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,Chile,"China, Taiwan Province of","China, mainland",Colombia,Costa Rica,Croatia,Czechia,Côte d'Ivoire,Denmark,Ecuador,El Salvador,Estonia,Finland,France,Georgia,Germany,Greece,Guatemala,Honduras,Hungary,India,Ireland,Israel,Italy,Jordan,Latvia,Lebanon,Lithuania,Luxembourg,Malawi,Malaysia,Mauritius,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Pakistan,Paraguay,Poland,Portugal,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saudi Arabia,Senegal,Slovakia,Slovenia,South Africa,Sri Lanka,Switzerland,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United Kingdom,United Republic of Tanzania,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Zambia
2018-01-01,65208.84247658702,41.81487840241223,359273.01180072466,4190.571295048791,50754.525488158266,645.3985775214701,30038146.549320765,1422809.2088629382,51725.34176573667,553.795992765128,1457954.2024111208,39356.32746512644,3142.1201341030624,3675914.774593804,3030.132151774447,921.2993450440214,496053.8969083597,348863.6140946633,39377.47655480192,98035.49640623125,19522.694690760305,2459.5070305053587,1078.2947388448774,13.930056628427764,6412911.871449166,16216.84350247305,634496.169105433,158391.96331380503,20475.873587711725,3855.161311683643,4093475.46279349,1645748.5273024437,11321.050433297922,26852.1247260473,151654.60253376781,40687.68414182277,58901.91447884611,1014.7039235115146,68753.65339227844,8102.0212837455465,93915.4996281566,39909.29607349072,1190.1665733076404,1988159.864986958,5607.605468666861,711090.4798136564,14146.478766261022,2415.396967734964,2758.4885536831052,3850.0437940924785,113272.62387692416,2452413.682500031,1069893.1343675635,65228.96660023235,4547.330674326359,253072.23339757655,4630133.120693958,5350336.279766601,4879.701041363012,1258.5884569047905,954.7950090880481,601136.3534531218,349862.75736923306,1751731.6000957203,172.79120577155248,270.95410912415423,984721.2530427354,4097.619326614939,3588.666403976588,124875.99346235264,381764.4437377104,20993590.660519104,163915.78917897618,84499.9994487873,57741617.8790436,53315.00827397996,10937.053710494707,628753.6478494045
2019-01-01,75683.29621876654,50.83240865926835,388199.2928935906,6173.329237142822,53500.015392781206,813.9246964126651,31308495.613806576,1509587.041320122,53087.85035332429,611.5963405029801,1532340.0727187812,56771.65559271653,2989.0888628452885,6272480.024859661,3217.3054674766795,1149.3166456020626,480862.80662927614,368379.92428330175,40913.55404412132,103322.21134847109,32847.6503235996,3759.1022251590266,1294.1307772937728,18.61075626317708,7179802.383701387,18592.90379599378,807343.1472987887,208536.4309578186,24032.37471050992,4691.294781259935,4328888.867578152,2021104.7771417594,12219.644456424423,30241.569924117306,182692.79608236777,42913.42932307163,62088.79509330957,1324.219385267856,72200.86906595166,8477.061014561436,112421.66862105358,38439.932895415346,1190.1665733076404,2610971.032099186,6762.202431774899,801428.9314123084,17355.31230131592,2542.3133041713313,3321.3049774016217,3920.554099074304,135344.02102443064,2581657.9746827357,1124812.2791787733,69794.5921916275,4982.054707573175,236327.54058092332,4826629.804254738,5584522.433209076,5198.36344641318,952.1671191520999,1250.9546622106504,632465.3210354093,399261.6303781409,1943177.5806951518,221.44272181473474,292.55213054181775,1330752.2517343936,4969.050011932013,4579.74104972553,131113.99522600847,476006.36933649227,21908997.917010546,173260.8643213143,55721.74526773992,55770998.69949979,72029.60822051133,14898.39608010295,662670.7888045977
2020-01-01,82253.86907260111,55.769690305445835,407764.28712437797,8090.192316054844,55316.790855381354,911.5489163366278,32232112.955119215,1566807.384742873,52657.57210143577,628.2275101265955,1575875.5751975693,71431.07929734123,2766.6537365113286,8958688.893494045,3333.3657189727446,1260.2692394060587,479643.1159594514,382163.74018791155,41502.06669525389,105324.03566363492,46942.77572851817,3470.0774322814714,1399.6121775388565,21.716721545502363,7614999.71072581,19948.715224699183,912978.6896245072,240779.23025855405,26924.113607909883,5133.359090072812,4489600.194173856,2283190.4473870434,12687.784734165522,32407.805515921573,195648.39293561137,44402.155385283426,64214.23244169168,1577.4296777001473,74620.78890479852,8747.565995792605,119748.23784942622,34089.46095026756,1190.1665733076404,3311561.0837851167,7225.192941541388,852365.92548696,17355.31230131592,2630.179425059626,3545.1925265725185,2952.330005548655,148689.77818133196,2771546.606298277,1163049.586372833,72176.13263278584,4982.054707573175,219155.02695283736,4969590.627209876,5754976.61799281,5372.566593570826,952.1671191520999,1431.533768541075,653261.4605115051,444609.96363140905,1842924.5745143108,250.05825071391794,302.7703862753673,1330752.2517343936,5361.87734199789,5144.178878605129,132137.2010554536,572439.0612645793,22573412.411612876,178093.11286615036,103946.79388673205,54886604.00777516,84085.6296590758,17522.982301779462,684228.6815346348
2021-01-01,83647.90694472312,58.730343642794615,422386.43334965594,9206.78053567224,56647.63048327117,973.3638841766019,32974791.53438356,1608570.1410080355,51384.290116423625,632.921252754204,1596169.274110248,77931.9808304775,2586.4144615666755,10023994.375090063,3412.565037581002,1319.880244106726,503176.01358815853,392937.1553725341,41641.97460183746,105816.02614476555,57036.01019123371,3098.08236921559,1456.111708453222,23.969576043129166,7908808.068959785,20794.003943503427,910487.5590563269,263431.01877660723,28565.1049955988,5389.868146472025,4611019.251813163,2483520.099405951,12945.993048848366,33932.59461865244,202037.53360414616,45504.94495305076,65784.32840014872,1679.1262996576115,76502.03622728185,8963.325035056469,123030.75245303614,34823.69684337052,1190.1665733076404,4029167.4706791714,7433.293795848129,879242.154757157,17355.31230131592,2697.563455759112,3645.007144080759,2005.4742054076842,157538.48026154164,2998345.2724604746,1192557.7398902038,73484.99163880844,4982.054707573175,204264.4795476933,5084617.842214197,5892191.10610144,5474.250852469105,952.1671191520999,1551.8149606670943,668550.9198193429,485256.7373338179,1881355.6810317894,268.4823751715443,307.7990333586562,1330752.2517343936,5557.149043774783,5496.084680880953,131501.5075601645,670912.1198733123,23106833.691182073,178466.4436272443,98199.91131338048,51881842.53987152,92564.50466700803,19422.25198939127,699361.4058393538
2022-01-01,83596.1596386013,60.583432879883816,433824.05815148784,9637.120247863306,57667.38716078359,1014.2781375742879,33601055.49949549,1640444.1870283093,49927.10037333154,633.9970389511795,1600734.3281989745,81340.60727467273,2455.7730434813884,10530964.9047408,3468.5624517310694,1353.7809455832678,540795.090392298,401766.9143677999,41531.43544642941,105501.7136427331,65168.92431280292,2621.0028434344385,1487.783196902192,25.672643230642876,8119198.260619488,21338.53565940952,891843.8335991113,280018.22909499577,29801.840286832812,5546.0689310971175,4707125.799725123,2643202.9731614604,13083.344848262896,35051.78542800874,205433.92247241616,46360.20866618173,66998.47414262367,1738.5777714988444,78035.97312957393,9143.769601617456,124625.21726250622,36959.59701693153,1190.1665733076404,4787381.51705118,7534.211284395682,899779.8810686608,17355.31230131592,2751.7526148365264,3693.033491480807,1758.491469535736,163647.80575559914,3163477.2204718096,1216448.0410801517,74169.02439075458,4982.054707573175,193996.60423687106,5181674.384475397,6008028.494357012,5532.291257809502,952.1671191520999,1635.3994090807387,680313.7999344477,521860.2674727717,1874795.3035657038,280.8640481322416,310.10491022089184,1330752.2517343936,5659.774503950464,5725.475984879719,130396.94553789543,770057.2925675835,23555970.692891404,174786.4466338371,136443.08728404954,53881406.69352926,98778.38019950435,20854.281223500817,710411.4548423716
2023-01-01,83141.33411055218,61.77485617227784,443001.55286518054,9949.511462479219,58467.337622187915,1042.1587537794483,34144149.090563655,1665336.846350643,48640.3240584935,634.0504468045053,1595303.1215624427,83249.59508084593,2365.3022970006064,10792870.46094439,3508.5356846179957,1373.895378960498,570149.6119484687,409206.2729520694,41272.518359517315,104738.7510518918,70633.88616277784,3489.1506612355097,1506.1113861658619,26.991844491332596,8274690.905136502,21692.842745332622,912180.0351761058,292469.48563348927,30707.188609973928,5644.460050945449,4785218.6350855455,2773632.3720215526,13146.212035873765,35890.885870736376,207337.02965713106,47040.101737298755,67960.54953070552,1756.8033336376075,79321.78417181548,9298.938483921846,125446.6488994158,32811.99918558296,1190.1665733076404,5564752.387274932,7586.29476112695,921676.4005427023,17355.31230131592,2796.531155738693,3717.647490983773,2130.7880694865526,167958.10460406233,3282279.6369206724,1236331.4422863368,74462.00333519856,4982.054707573175,189694.40092594712,5265892.835896204,6108598.377378929,5561.836524862147,952.1671191520999,1695.037794646073,689581.6250196046,554918.2312912166,1948206.0633467152,289.40832430245916,310.91784163914224,1330752.2517343936,5716.159015880479,5879.418307263708,129273.17527176304,869693.9962342934,23944892.29111018,167731.4593764113,128867.9042467341,55327807.03667547,103446.50622600567,21960.580407354522,718600.7104898966
2024-01-01,82638.89655549261,62.556540940281735,450480.6183927421,9850.675663616861,59102.59313072695,1061.584348910812,34623910.87880342,1685003.553959082,47656.347205820704,633.8798531051848,1583882.252888821,84364.74070331216,2304.117873347297,10935770.006574899,3536.8335126826314,1386.2453152831836,576015.2433376,415587.5047990215,40924.91630353751,103731.42389583356,74568.63869031337,4288.707969920588,1517.0124666662787,28.030555337979322,8392008.355131868,21922.399037357398,986206.3708029948,301976.83837018063,31280.200766377056,5708.168685933719,4849707.087623708,2881890.710732773,13161.864049746177,36526.602712968415,208449.22329976133,47588.14516711097,68733.17404395225,1766.049582585059,80418.99891427875,9434.838433906663,125887.58182339977,21697.248830486267,1190.1665733076404,6369689.113171424,7614.575397726148,944968.2289292704,17355.31230131592,2834.174284239137,3730.935697753028,2709.8565278856345,171037.35977458715,3325436.4501347076,1253173.8287425984,74502.37998594728,4982.054707573175,191463.18281314874,5340335.759056955,6197545.3264166275,5571.9786138194995,952.1671191520999,1738.4140328171807,696976.1315525506,584943.341081922,1911801.179315423,295.41909433532334,310.9132109445666,1330752.2517343936,5748.4053140191145,5985.058672435286,128290.53960620715,969305.9166068104,24287963.631163973,158109.27236454698,149892.81776576684,58546955.04511653,107014.00468416196,22829.394982464524,724666.052123449
2025-01-01,82204.16957910814,63.0783851602056,456634.7431542424,9801.862480278178,59609.594331566754,1075.3696187802773,35053325.38769526,1700604.992028688,46978.12475663118,633.7085632677528,1569163.4583960408,85038.59499706143,2263.3030598052787,11016817.854701484,3556.332028715292,1394.040577047644,562565.8655015286,421129.42728629283,40526.15618187727,102603.83085648295,77087.21974621127,5141.453720826747,1523.6674798004415,28.858287940501945,8481875.1880094,22068.598293093117,1057203.0000544994,309330.6209934731,31820.52788322659,5750.4198308943305,4903509.515747286,2972776.7460335786,13147.470578622415,37009.91363620369,209121.65167384746,48033.096004290506,69357.702360259,1766.6569550492095,81366.79466277645,9555.411322232247,126130.74761134128,12125.867072249563,1190.1665733076404,7193567.912131857,7630.540844829934,967561.3380077452,17355.31230131592,2866.18164269476,3738.403456795666,3159.786860913847,173253.1665376933,3333823.4563207617,1267610.2176733124,74378.30210455658,4982.054707573175,198218.09579580443,5407007.424170445,6277253.8745333785,5568.629291156244,952.1671191520999,1770.4501199762517,702907.8566752942,612381.3353296462,1954326.576793758,299.71417981033017,310.47901964494906,1330752.2517343936,5767.535026912481,6058.927769648588,127489.04030499858,1068678.21578414,24594588.10588754,146807.26116897917,134472.66293252748,58594005.713275455,109776.15227320298,23520.04275796141,729093.945316066
