country,best_arima,mse,mape,corr,minmax
Senegal,"(1, 0, 0)",551782.5386930073,9.170647317316195,0.6335461397888701,0.3344557598840099
Slovakia,"(1, 0, 0)",2352686576.929617,0.11337548226857207,0.8350937028777069,0.10773791523917353
Slovenia,"(3, 0, 0)",985623713.996,0.18445870603327574,0.9403196573275866,0.1835832678421303
South Africa,"(5, 0, 1)",114797033433.79224,0.17002702516535095,0.7289213667064691,0.16819029912752415
Sri Lanka,"(1, 0, 0)",20278.475919271077,1.1281764335652376,0.702611542775819,0.5440140225676765
Switzerland,"(1, 0, 0)",425.8348229229908,0.13434266321893285,0.6738028125487431,0.12256577453017437
Thailand,"(0, 0, 1)",8889761766.142427,0.14501105441970755,0.7354332250242841,0.124281432415701
Togo,"(1, 0, 0)",12266973.006087469,1.1055649412176116,0.4881536528818309,0.5082827432449256
Trinidad and Tobago,"(1, 0, 0)",1928102.467159111,230.9911357218904,0.792602750200615,0.44454831233301606
Turkey,"(1, 0, 0)",1961904998.950314,1.0037670786463255,-0.03546378553576841,0.37757707626116654
Uganda,"(4, 0, 0)",1219027047.3889055,0.21502870728730275,0.9538341046635929,0.21419754527460577
Ukraine,"(1, 0, 0)",5619935859430.441,0.2203268359706765,0.9751523733885458,0.22032683597067648
United Kingdom,"(1, 0, 0)",437237798.62240654,0.23550283009411477,0.9635031272714899,0.2336614422345561
United Republic of Tanzania,"(4, 0, 0)",1504958005.556229,0.5565465140761554,0.7352332216996715,0.3532314728531313
United States of America,"(3, 0, 1)",15005142740145.383,0.07569566617956275,0.8355810867444918,0.0688025133979061
Uruguay,"(1, 0, 0)",2046007056.1403716,4.963396988974357,0.6684497253594924,0.4038357583001626
Venezuela (Bolivarian Republic of),"(1, 0, 0)",653548.1131294515,50.38467061255096,-0.6903220691034416,0.9665369557197456
Zambia,"(1, 0, 0)",12979354747.531042,0.2907103988867059,0.7405600066823002,0.2606613800307461
